A,,,,,"   Indicators MAIN IDEAS 1) PROOF OF CONTINUED EXISTENCE, OR DEATH 2) DID THEY RAISE $$, WHAT FORM, AND HOW MUCH 3) COMMUNITY (e.g., jobs) OR ENVIRONMENTAL IMPACT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Company Name,Founder/Submitter,Industry,Year,Region,1-1) QUICK GLANCE AT COMPANY FOR PROOF OF EXISTENCE,From 2024 Data ,From 2024 Data ,From 2026 onwards,,  1-1) ONLINE PRESENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-2) IN-DEPTH RESEARCH FOR MORE PROOF (CHECK IF NEEDED),"   1-2) ADDITIONAL PROOF OF CONTINUED EXISTENCE, OR DEATH",,,,,,,,,,,,,,,2) EVIDENCE OF CAPITAL RAISES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Accelerator,,,,3) Community or Environmental Impact,,,,,,,,,,,,,,,,,,,,
,,,,,,"Status as of 2024, Y=Alive, N=Dead, S=Maybe, A=Acquire",,Still Alive?,,Company Website (Google Search),,,,LinkedIn (Website),,,,,,,,,,,,,,,Online reviews,,,News articles,,,,,,Word of mouth,,,,,,,,Continued Membership in Industry Organizations (wiki),,,,Websites tracking failures,News stories,N,,,SEC Reg D filings (website here),,,,,,Website url,,,,Number of Funding Rounds,,,Total (disclosed) Funding Amount ($USD),,,,,,Latest Funding Year,,,,,Latest Funding Amount ($USD),,,,,,"Latest Funding Type (friends&family, seed, A-round, grant, etc)",,,,,Earliest Funding Year,,,,,Funding Type with most money raised,,,,,Year with most money raised,,,,,News about capital raise,,,,Word of mouth,,,,,Evidence of Expansion/Growth,,,,,,,Evidence of Global Expansion,,Evidence of environmental impact,,,,,,,,,,SCORED BY,DATE OF COMPLETION
People Power Solar Cooperative,Subin DeVar,Renewables,2018,West,,N,2022,N,2026,https://www.peoplepowersolar.org/,Y,2026,wind-down / asset-transfer announcement page,Y,,N,2025,N,2025,Subin DeVar,https://www.linkedin.com/in/subin-devar,,,YouTube,2024,https://www.youtube.com/watch?v=MNXUI4qawig,N,,N,,,Y,2025,https://ilsr.org/article/energy-democracy/community-leaders-on-the-power-of-locally-owned-clean-energy/,N,,,Y,,Y,2018,N,,N,,Y,People's Solar Energy Fund (PSEF),Y,National Community Solar Partnership; People's Solar Energy Fund (PSEF),,,N,,N,N,,,,150000,,,,,https://www.energy.gov/eere/solar/articles/moment-sun-people-power-solar-cooperative,,,,,,,grant / startup funding,,https://www.energy.gov/eere/solar/articles/moment-sun-people-power-solar-cooperative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,https://www.energy.gov/eere/solar/articles/moment-sun-people-power-solar-cooperative,2022,150000,Y,Y,CalSEED (California Sustainable Energy Entrepreneur Development Initiative),2018,https://www.energy.gov/eere/solar/articles/moment-sun-people-power-solar-cooperative,N,,N,,N,,,N,,N,,,Y,,https://www.peoplepowersolar.org/projects,Y,2024,Y,https://www.energy.gov/eere/solar/articles/moment-sun-people-power-solar-cooperative,Rebecca,3/18/2026
Positive Energy Community,Yue Wang,Information Technology and Communications,2018,West,,N,,N,2022,www.positiveenergy.community,N,,,N,,N,,N,,,,,,,,,N,,N,,,N,,,N,,,N,,N,,N,,N,,N,,N,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,N,,N,,,,,N,,N,,,N,,,N,,N,,Henry,3/2/2026
Prime Lightworks Inc.,Kyle Flanagan,Transportation,2018,West,,S,2022,N,2022,https://primelightworks.com/updates/ ,N,2022,,Y,https://www.linkedin.com/company/primelightworks/about/,N,,N,2024,Kyle Flanagan ,https://www.linkedin.com/in/kyleflanagan/,,,,,,N,,N,,,N,,,N,,,N,,Y,,N,,Y,,N,,N,,,,N,,,N,,,,,,https://www.crunchbase.com/organization/prime-lightworks,https://pitchbook.com/profiles/company/168354-37,,,4,7,,120k,,,seed ,120k,,2020,,,2023,,N/A,,,N/A,,,Non equity assistance ,,,Generating revenue,,2016,,,2016,,seed ,,,seed ,,2016,,,2016,,N,,,,N,N,,,,N,,N,,,,,N,,N,,,N,,,N,,N,,Henry,3/2/2026
Ride SVP,Pierre Emmanuel Baud,Transportation,2018,West,,N,2020,N,2021,https://www.ridesvp.com,N,,,N,,N,,N,2021,Pierre Emmanuel Baud,https://fr.linkedin.com/in/pierre-emmanuel-baud-676677b,,,Instagram,2020,https://www.instagram.com/ridesvp/,Y,2021,N,,,Y,2022,https://journal-du-palais.fr/au-sommaire/entreprises/colleag-vers-un-ecosysteme-du-covoiturage-d-entreprise,N,,,Y,,N,,N,,N,,N,,N,,,,N,,N,N,,,,,,,,,https://www.thecompanycheck.com/company/b/ridesvp/7b1bbe4396744e06a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,N,Y,Cleantech Open,,https://journal-du-palais.fr/au-sommaire/entreprises/colleag-vers-un-ecosysteme-du-covoiturage-d-entreprise,N,,,,N,,,N,,N,,,N,,,N,,,,Rebecca,3/18/2026
RNA Innovations,Amy Tandon,Chemicals and Advanced Materials,2018,West,,N,,S,2026,https://centriairflow.com/,Y,2026,copyright / live website content,N,,N,,Y,,Adess Singh,https://in.linkedin.com/in/adess-singh-2a84242a,,,F6S,2026,https://www.f6s.com/rnainnovations,N,,N,,,Y,2026,https://tracxn.com/d/companies/rna-innovations/__wxGl20RkZ-SF9vK93teDzJ-7CTD3A-RCW0WWymKHdw4,N,,,N,,Y,2024,N,,N,,N,,Y,Cleantech Open,,https://roseryan.com/blog/judging-cleantech-open/,N,,N,N,,,,,,,,,Tracxn,,,https://tracxn.com/d/companies/rna-innovations/__wxGl20RkZ-SF9vK93teDzJ-7CTD3A-RCW0WWymKHdw4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,N,Y,Cleantech Open 2018,2018,https://centriairflow.com/about-us,N,,N,,N,,,N,,N,,,Y,2026,https://centriairflow.com/product,Y,2026,Y,https://tracxn.com/d/companies/rna-innovations/__wxGl20RkZ-SF9vK93teDzJ-7CTD3A-RCW0WWymKHdw4,Rebecca,3/18/2026
Sepion Technologies,Kira Gardner,Energy Distribution and Storage,2018,West,,Y,2024,Y,2022,https://sepiontechnologies.com/,Y,2024,Blog Post ,Y ,https://www.linkedin.com/company/sepion-technologies,Y,2025,Y ,,Peter Frischman ,https://www.linkedin.com/in/peterfrischmann/,,,,,,N,,N,,,N,,,N,,,N,,Y,,N,,N,,N,,N,,,,N,,,Y,2021,Equity ,Decline to disclose ,"$18,749,987","$18,749,987",https://www.crunchbase.com/organization/sepion-technologies ,https://pitchbook.com/profiles/company/171089-74,,,5,13,,33.5M,,,"seed, series A, Grant",only 1M disclosed ,,2025,,,2025,,N/A ,,,N/A,,,Venture series-unknown ,,,Later stage VC ,,2018,,,2016,,Grant ,,,Grant ,,2024,,,,,N,,,,N,Y,Fine strucutre ventures ,2021,https://finestructure.vc/story/sepion,N,,N,,,,,N,,N,,,N,,,N,,N,,Henry ,3/3/2026
South 8 Technologies,Jungwoo Lee,Energy Generation,2018,West,,Y,2026,Y,2026,https://south8.com/,Y,2026,News post,Y ,https://www.linkedin.com/company/south8technologies/people/,Y,2026,Y,,Jungwoo Lee ,https://www.linkedin.com/in/jzlee/,,,,,,N,,N,,,N,,,N,,,N,,N,,N,,N,,N,,N,,,,N,,,N,,,,,,https://www.crunchbase.com/organization/south-8-technologies ,https://pitchbook.com/profiles/company/226698-67,,,9,18,,27.8M,,,Venture Series Unknown ,33.9M,,2025,,,2025,,11M,,,11M,,,Venture series-unknown ,,,later stage VC ,,2017,,,2018,,Series A ,,,Series A ,,2021,,,2021,,N,,,,N,Y,"Alumni Ventures, Lockheed Martin Ventures, Foothill Ventures, National Science Foundation, LG Technology",,,N,,N,,,,,N,,N,,,N,,,N,,N,,Henry ,3/3/2026
Spread.Energy,Yue Wang,"Information Technology and Communications, Energy ",2018,West,,Y,2022,Y,2023,https://spread.energy ,Y,2023,copyright update,Y,https://www.linkedin.com/company/spread-energy ,Y,2023,Y,present,Yue Wang,https://www.linkedin.com/in/yuewang,N/A,N/A,N/A,N/A,N,N/A,N,N/A,N/A,Y,2022,https://spread.energy,N,N/A,N/A,N,N,N/A,N,N/A,N,N/A,Y,CleanTech Open,Y,CleanTech Open,N,Y,N,N/A,N,N,N/A,N/A,https://www.crunchbase.com/organization/spread-energy ,https://pitchbook.com ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,Y,https://spread.energy ,2022,,,N/A,N,N,,,N/A,N/A,N,N/A,,,Y,2022,https://spread.energy ,,,Y,2022,https://spread.energy ,,,Y,2023,Y,,,https://spread.energy ,Y,https://spread.energy ,,,,,Y,CleanTech Open,2018,https://www.cleantechopen.org ,N,N/A,Y,2023,N,N/A,N/A,N,N/A,Y,2022,https://spread.energy ,Y,2022,https://spread.energy ,Y,2023,Y,https://spread.energy ,Samarth ,3/5/2026
Storagy,Colin Danahy,Information Technology and Communications,2018,West,No info,N,,S,2019,https://www.storagyonline.com/,N,,,N,,N,,N,2019,"Colin Danahy, E.I.T",https://www.linkedin.com/in/colin-danahy-e-i-t-47755670,,,Facebook,,https://www.facebook.com/Storagy-770300219826549/,N,,N,,,Y,2017,https://news.rpi.edu/content/2017/12/13/rensselaer-announces-winners-change-world-challenge-competition,N,,,N,,N,,N,,N,,N,,N,,,https://news.rpi.edu/content/2017/12/13/rensselaer-announces-winners-change-world-challenge-competition,N,,N,N,,,,,,,,,F6S,,,https://www.f6s.com/company/storagy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,N,N,,,,N,,N,,N,Wellfound,,N,,N,,,N,,,N,,N,,Rebecca,3/18/2026
Sunswarm Solar,Aaron Clay,"Information Technology and Communications, Energy ",2018,West,,N,,Y,2023,https://www.sunswarmsolar.com ,Y,2023,copyright update,Y,https://www.linkedin.com/company/sunswarm-solar ,Y,2023,Y,present,Aaron Clay,https://www.linkedin.com/in/aaronclay,N/A,N/A,N/A,N/A,N,N/A,N,N/A,N/A,Y,2023,https://www.sunswarmsolar.com,N,N/A,N/A,N,Y,2023,N,N/A,Y,2023,Y,CleanTech Open,Y,CleanTech Open,N,Y,N,N/A,N,N,N/A,N/A,https://www.crunchbase.com/organization/sunswarm-solar ,https://pitchbook.com ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,Y,https://www.sunswarmsolar.com ,2023,,,N/A,N,Y,,,CleanTech Open,2018,https://www.cleantechopen.org ,Y,,,2023,Y,2023,,,N,N/A,N/A,,,N,N/A,Y,,,2023,https://www.sunswarmsolar.com ,Y,2023,https://www.sunswarmsolar.com ,Y,2023,Y,https://www.sunswarmsolar.com ,,,,,,,,,,,,,,,,,,,,,,Samarth,
Vega Energy Systems,Terrence Unger,Energy Distribution and Storage,2018,West,,Y,2022,S,2022,https://vegaenergysystems.com ,N,N/A,N/A,N,N/A,N,N/A,N,N/A,Terrence Unger,https://www.linkedin.com,N/A,N/A,N/A,N/A,N,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N,,N,N/A,N,N/A,N,N/A,N,N/A,N,N/A,N,N,N,N/A,,N,N,N/A,N/A,N/A,N/A,N/A,https://www.crunchbase.com/organization/vega-energy-systems ,https://pitchbook.com ,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,N,N/A,N/A,N/A,N,,Y,CleanTech Open,2018,https://www.cleantechopen.org ,N,N/A,N,N/A,N,N/A,N/A,N,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N,N/A,Samarth,3/5/2026
Wildnote,Brandon Jones,Information Technology and Communications,2018,West,,Y,2022,Y,2024,https://wildnoteapp.com ,Y,2024,product update,Y,https://www.linkedin.com/company/wildnote ,Y,2024,Y,present,Brandon Jones,https://www.linkedin.com/in/brandonjones,2023,https://twitter.com/wildnoteapp,Facebook,2024,https://facebook.com/wildnoteapp,N,N/A,Y,G2,2023,Y,2024,https://wildnoteapp.com/blog,N,N/A,N/A,N,,Y,2024,N,N/A,Y,2024,Y,Environmental data organizations,Y,Environmental data organizations,N,Y,N,N/A,,N,N,N/A,N/A,N/A,N/A,N/A,https://www.crunchbase.com/organization/wildnote ,https://pitchbook.com ,https://www.dnb.com ,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,N,N/A,N/A,N/A,N,,Y,CleanTech Open,2018,https://www.cleantechopen.org ,Y,2024,Y,2024,N,N/A,N/A,N,N/A,Y,2024,https://wildnoteapp.com/blog ,Y,2024,https://wildnoteapp.com/blog ,Y,2024,Y,https://wildnoteapp.com ,Samarth,3/5/2026
YouSolar,Arnold Leitner,Energy Generation,2018,West,,Y,2022,Y,2024,https://www.yousolar.com ,Y,2024,product news,Y,https://www.linkedin.com/company/yousolar ,Y,2024,Y,present,Arnold Leitner,https://www.linkedin.com/in/arnoldleitner,2023,https://twitter.com/yousolar,YouTube,2024,https://youtube.com/yousolar,N,N/A,Y,Google,2024,Y,2024,https://www.yousolar.com/news,N,N/A,N/A,N,,Y,2024,N,N/A,Y,2024,Y,Solar Energy Industries Association,Y,Solar Energy Industries Association,N,Y,N,N/A,,N,N,N/A,N/A,N/A,N/A,N/A,https://www.crunchbase.com/organization/yousolar ,https://pitchbook.com ,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,N,N/A,N/A,N/A,N,,Y,CleanTech Open,2018,https://www.cleantechopen.org ,Y,2024,Y,2024,N,N/A,N/A,Y,https://www.yousolar.com ,Y,2024,https://www.yousolar.com/news ,Y,2024,https://www.yousolar.com ,Y,2024,Y,https://www.yousolar.com ,Samarth,3/5/2026
Zevway,Jerry Joslyn,Transportation,2018,West,No info,N,,Y,2024,https://zevway.com ,Y,2024,product update,Y,https://www.linkedin.com/company/zevway ,Y,2024,Y,present,Jerry Joslyn,https://www.linkedin.com/in/jerryjoslyn,N/A,N/A,N/A,N/A,N,N/A,N,N/A,N/A,Y,2023,https://zevway.com/news,N,N/A,N/A,N,N,,Y,2024,N,N/A,Y,2024,Y,Electric vehicle industry groups,Y,Electric vehicle industry groups,N,Y,N,N/A,,N,N,N/A,N/A,N/A,N/A,N/A,https://www.crunchbase.com/organization/zevway ,https://pitchbook.com ,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,N,N/A,N/A,N/A,N,,Y,CleanTech Open,2018,https://www.cleantechopen.org ,N,N/A,Y,2024,N,N/A,N/A,N,N/A,Y,2023,https://zevway.com/news ,Y,2023,https://zevway.com ,Y,2024,Y,https://zevway.com ,Samarth,3/5/2026
The Solar Payoff LLC,Curtis Dowds,Information & Communication Technology,2018,West,,Y,2022,S,2022,https://thesolarpayoff.com ,N,N/A,N/A,N,N/A,N,N/A,N,N/A,Curtis Dowds,https://www.linkedin.com,N/A,N/A,N/A,N/A,N,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N,,N,N/A,N,N/A,N,N/A,N,N/A,N,N/A,N,N,N,N/A,,N,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,N,N/A,N/A,N/A,N,,Y,CleanTech Open,2018,https://www.cleantechopen.org ,N,N/A,N,N/A,N,N/A,N/A,N,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N,N/A,Samarth,3/5/2026
T2M Global,Pinakin Patel,Energy Generation,2018,West,,Y,2022,S,2022,https://t2mglobal.com ,N,N/A,N/A,N,N/A,N,N/A,N,N/A,Pinakin Patel,https://www.linkedin.com,N/A,N/A,N/A,N/A,N,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N,,N,N/A,N,N/A,N,N/A,N,N/A,N,N/A,N,N,N,N/A,,N,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,N,N/A,N/A,N/A,N,,Y,CleanTech Open,2018,https://www.cleantechopen.org ,N,N/A,N,N/A,N,N/A,N/A,N,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N,N/A,Samarth,3/5/2026
Spark Box,Marty Wolf,Energy Generation,2018,West,,N,,A,2020,N/A,N,N/A,N/A,N,N/A,N,N/A,N,N/A,Marty Wolf,N/A,N/A,N/A,N/A,N/A,N,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,,,N,N/A,N,N/A,N,N/A,N,N/A,Y,CleanTech Open / F6S startup ecosystem,N,N,N,N/A,N,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N,N/A,N/A,N/A,N,Y,CleanTech Open,2018,https://www.cleantechopen.org ,N,N/A,N,N/A,N,N/A,N/A,N,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N,N/A,Samarth,3/5/2026
Hi-Z Technology Inc,Jill Elsner,Energy Generation,2018,West,,Y,2022,Y,2024,https://hi-z.com ,Y,2024,company/project update,N,N/A,N,N/A,Y,N/A,Jill Elsner,https://www.linkedin.com/in/jill-elsner-64b3a517,N/A,N/A,N/A,N/A,N,N/A,Y,Indeed,2024,Y,2024,https://www.energy.ca.gov/eere/solar/2022-seto-peer-review-manufacturing-and-competitiveness-projects,N,N/A,N/A,N,,,Y,2024,N,N/A,N,N/A,Y,thermoelectric / energy R&D ecosystem,Y,thermoelectric / DOE energy ecosystem,N,Y,N,N/A,N,N,N/A,N/A,N/A,N/A,N/A,N/A,https://pitchbook.com/profiles/company/601659-28 ,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,,,https://pitchbook.com/profiles/company/601659-28 ,N/A,N,N/A,N/A,N/A,N,Y,CleanTech Open,2018,https://www.cleantechopen.org ,N,N/A,N,N/A,N,N/A,N/A,N,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N,N/A,Samarth,3/5/2026
HAPI Water Solutions,Valantyn Koziak,Agriculture Water & Waste,2018,West,,N,,Y,2026,N/A,N,N/A,N/A,N,N/A,N,N/A,N,N/A,Valantyn Koziak,https://www.f6s.com/member/valantynkoziak,N/A,N/A,N/A,N/A,N,N/A,N,N/A,N/A,Y,2026,https://www.f6s.com/member/valantynkoziak,N,N/A,N/A,N,,,N,N/A,N,N/A,N,N/A,N,N/A,Y,CleanTech Open / F6S startup ecosystem,N,Y,N,N/A,N,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.f6s.com/member/valantynkoziak ,N/A,N/A,https://www.f6s.com/member/valantynkoziak ,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,https://www.f6s.com/member/valantynkoziak ,N,N/A,N/A,N/A,N,Y,CleanTech Open,2018,https://www.cleantechopen.org ,N,N/A,N,N/A,N,N/A,N/A,N,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N,N/A,Samarth,3/5/2026
Halo Industries Inc,Andrei Iancu,Energy Generation,2018,West,,Y,2022,Y,2025,http://www.halo-industries.com ,Y,2025,LinkedIn/company update,Y,https://www.linkedin.com/company/halo-industries ,Y,2025,Y,N/A,Andrei Iancu,N/A,N/A,N/A,N/A,N/A,N,N/A,N,N/A,N/A,Y,2025,https://www.linkedin.com/company/halo-industries,N,N/A,N/A,N,,,Y,2025,N,N/A,N,N/A,Y,clean energy / semiconductor manufacturing ecosystem,Y,DOE SETO / California energy innovation ecosystem,N,Y,N,N/A,N,N,N/A,N/A,N/A,N/A,N/A,https://www.crunchbase.com/organization/halo-industries ,https://pitchbook.com/profiles/company/268038-01 ,N/A,https://www.optica-opn.org/home/industry/2024/july/halo_industries_grabs_us%2480_million_in_series_b_funding/ ,N/A,N/A,https://www.optica-opn.org/home/industry/2024/july/halo_industries_grabs_us%2480_million_in_series_b_funding/ ,N/A,,,Series B,122000000,80000000,2024,,,2024,2024,80000000,,,80000000,N/A,80000000,2024,,,2024,2024,Series B,,,Series B,Series B,2024,,,2024,2024,N/A,,,https://pitchbook.com/profiles/company/268038-01 ,https://www.optica-opn.org/home/industry/2024/july/halo_industries_grabs_us%2480_million_in_series_b_funding/ ,Y,https://www.optica-opn.org/home/industry/2024/july/halo_industries_grabs_us%2480_million_in_series_b_funding/ ,2024,80000000,Y,Y,CleanTech Open,2018,https://www.cleantechopen.org ,Y,2025,Y,2025,N,N/A,N/A,Y,https://www.halo-industries.com ,Y,2024,https://www.optica-opn.org/home/industry/2024/july/halo_industries_grabs_us%2480_million_in_series_b_funding/ ,Y,2025,https://www.halo-industries.com ,Y,2025,Y,https://www.linkedin.com/company/halo-industries ,Samarth,3/5/2026
From Wild Surfaces,Ilya Danilov,Green Buildings,2018,West,,N,,S,2018,N/A,N,N/A,N/A,N,N/A,N,N/A,N,N/A,Ilya Danilov,N/A,N/A,N/A,N/A,N/A,N,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,,,N,N/A,N,N/A,N,N/A,N,N/A,N,N/A,N,N,N,N/A,N,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N,N/A,N/A,N/A,N,Y,CleanTech Open,2018,https://www.cleantechopen.org ,N,N/A,N,N/A,N,N/A,N/A,N,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N,N/A,Samarth,3/5/2026
Freedom Motors,David Sastry,Energy Generation,2018,West,,N,,Y,2023,https://freedom-motors.com ,Y,2023,blog/newsletter update,N,N/A,N,N/A,Y,N/A,David Sastry,N/A,N/A,N/A,Facebook/Instagram,2023,https://freedom-motors.com/blog/2018/05/31/cleantech-open-first-meet-greet/,N,N/A,N,N/A,N/A,Y,2023,https://freedom-motors.com/blog/2018/05/31/cleantech-open-first-meet-greet/,N,N/A,N/A,N,,N,N/A,N,N/A,N,N/A,N,N/A,Y,CleanTech Open / startup ecosystem,N,Y,N,N/A,N,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://freedom-motors.com/blog/2018/05/31/cleantech-open-first-meet-greet/ ,N/A,N/A,https://freedom-motors.com/blog/2018/05/31/cleantech-open-first-meet-greet/ ,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,https://freedom-motors.com/blog/2018/05/31/cleantech-open-first-meet-greet/ ,N,N/A,N/A,N/A,N,Y,CleanTech Open,2018,https://www.cleantechopen.org ,Y,2023,N,N/A,Y,Facebook,2023,N,N/A,Y,2023,https://freedom-motors.com/blog ,Y,2023,https://freedom-motors.com/blog ,Y,2023,N,N/A,Samarth,3/5/2026
Ecotel,John Ko,Energy Efficiency,2018,West,,N,,S,2018,N/A,N,N/A,N/A,N,N/A,N,N/A,N,N/A,John Ko,N/A,N/A,N/A,N/A,N/A,N,N/A,N,N/A,N/A,Y,2018,https://www.rockymountnc.gov/DocumentCenter/View/4099/Item-10-PDF,N,N/A,N/A,N,,,N,N/A,N,N/A,N,N/A,N,N/A,Y,startup / municipal pilot ecosystem,N,Y,N,N/A,N,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.rockymountnc.gov/DocumentCenter/View/4099/Item-10-PDF ,N/A,N/A,https://www.rockymountnc.gov/DocumentCenter/View/4099/Item-10-PDF ,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,https://www.rockymountnc.gov/DocumentCenter/View/4099/Item-10-PDF ,N,N/A,N/A,N/A,N,Y,CleanTech Open,2018,https://www.cleantechopen.org ,N,N/A,N,N/A,N,N/A,N/A,N,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N,N/A,Samarth,3/5/2026
TendOcean,Domenic Manganelli,Agriculture Water & Waste,2018,Northeast,,N,,Y,2024,https://tendocean.com ,Y,2024,company/profile update,N,N/A,N,N/A,Y,N/A,Domenic Manganelli,N/A,N/A,N/A,N/A,N/A,N,N/A,N,N/A,N/A,Y,2024,https://www.f6s.com/company/tendocean,N,N/A,N/A,N,,,N,N/A,N,N/A,N,N/A,Y,aquaculture / seaweed farming ecosystem,Y,MIT Solve / aquaculture ecosystem,N,Y,N,N/A,N,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.f6s.com/company/tendocean ,N/A,N/A,https://www.f6s.com/company/tendocean ,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,N/A,N/A,,,N/A,https://www.f6s.com/company/tendocean ,N,N/A,N/A,N/A,N,Y,CleanTech Open,2018,https://www.cleantechopen.org ,Y,2024,N,N/A,N,N/A,N/A,N,N/A,Y,2024,https://www.f6s.com/company/tendocean ,Y,2024,https://www.f6s.com/company/tendocean ,N,N/A,Y,https://www.f6s.com/company/tendocean ,Samarth,3/5/2026
